,Accuracy,Hallucination,Error rate,TP,TN,Misidentification,Misplacement
human_specimen_identifier,0.932,0.065,0.002,0.917,0.015,0.0,0.002
human_specimen_collection_site,0.827,0.0,0.173,0.827,0.0,0.001,0.172
patient_name,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_phone_number,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_birth_date,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_gender,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_race,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_blood_pressure,0.999,0.002,0.0,0.998,0.001,0.0,0.0
patient_height,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_weight,1.0,0.0,0.0,1.0,0.0,0.0,0.0
disease_evidence,0.834,0.0,0.166,0.834,0.0,0.0,0.166
tumor_identifier,0.996,0.004,0.0,0.994,0.002,0.0,0.0
tumor_body_location,1.0,0.0,0.0,1.0,0.0,0.0,0.0
dimension_of_the_tumor,0.999,0.0,0.001,0.999,0.0,0.001,0.0
cancer_stage_type,0.554,0.0,0.446,0.553,0.001,0.029,0.417
cancer_staging_method,0.883,0.0,0.117,0.883,0.0,0.007,0.11
cancer_leukemia_binet_stage,0.995,0.0,0.005,0.995,0.0,0.003,0.002
cancer_gynecologic_figo_stage,0.99,0.0,0.01,0.988,0.002,0.002,0.008
cancer_lymphoma_stage,0.99,0.0,0.01,0.988,0.002,0.002,0.008
cancer_melanoma_breslow_stage,0.952,0.003,0.046,0.947,0.005,0.0,0.046
cancer_melanoma_clark_level,0.992,0.003,0.005,0.989,0.003,0.0,0.005
cancer_myeloma_iss_stage,0.994,0.0,0.006,0.988,0.006,0.006,0.0
cancer_prostate_gleason_stage,0.98,0.0,0.02,0.978,0.002,0.002,0.018
cancer_body_site,0.901,0.012,0.089,0.9,0.001,0.012,0.077
tumor_marker_test_type,0.992,0.0,0.008,0.992,0.0,0.002,0.006
tumor_marker_test_result_value,0.996,0.0,0.004,0.996,0.0,0.0,0.004
radiotherapy_number_of_sessions,0.99,0.0,0.01,0.99,0.0,0.001,0.009
radiotherapy_technique,1.0,0.0,0.0,1.0,0.0,0.0,0.0
radiotherapy_doses,0.992,0.0,0.008,0.992,0.0,0.0,0.008
patient_comorbidities_diagnosis_method,0.941,0.0,0.059,0.941,0.0,0.01,0.049
patient_comorbidities_diagnosis_risk_score,0.992,0.0,0.008,0.992,0.0,0.001,0.007
studied_genomic_region,0.688,0.009,0.303,0.688,0.0,0.001,0.302
genomic_variation_code,0.554,0.251,0.194,0.554,0.0,0.0,0.194
amino_acid_change_type,0.877,0.0,0.123,0.877,0.0,0.014,0.109
genomic_variant_studied_gene,0.996,0.0,0.004,0.996,0.0,0.0,0.004
genomic_variant_genomic_source_class,0.967,0.001,0.032,0.967,0.0,0.0,0.032
genomic_variant_copy_number,0.954,0.0,0.046,0.954,0.0,0.0,0.046
genomic_variant_allelic_frequency,0.999,0.0,0.001,0.999,0.0,0.0,0.001
genomic_variant_allelic_state,0.989,0.0,0.011,0.989,0.0,0.0,0.011
genomic_variant_cytogenetic_location,0.962,0.034,0.004,0.961,0.001,0.001,0.003
genomic_region_studied_gene_mutations,0.714,0.061,0.227,0.701,0.013,0.009,0.218
genomic_region_studied_gene,0.944,0.0,0.056,0.944,0.0,0.001,0.055
genomic_region_reference_sequence,0.975,0.022,0.003,0.975,0.0,0.0,0.003
patient_death_date,0.982,0.0,0.018,0.011,0.971,0.018,0.0
human_specimen_type,0.952,0.0,0.048,0.952,0.0,0.004,0.044
patient_zip_code,1.0,0.0,0.0,1.0,0.0,0.0,0.0
patient_ethnicity,0.982,0.0,0.018,0.982,0.0,0.0,0.018
patient_birth_sex,0.982,0.0,0.018,0.982,0.0,0.0,0.018
genomic_region_description,0.88,0.0,0.12,0.88,0.0,0.033,0.087
cancer_leukemia_rai_stage,1.0,0.0,0.0,1.0,0.0,0.0,0.0
cancer_myeloma_riss_stage,1.0,0.0,0.0,1.0,0.0,0.0,0.0
genomic_variant,1.0,0.0,0.0,1.0,0.0,0.0,0.0
