Entity,Accuracy,Accuracy,Model,Method
,After Optimization,Before Optimization,,
cancer_stage_type,0.992,0.294,gemma,2POP
cancer_staging_method,0.972,0.505,gemma,2POP
cancer_stage_type,1.0,0.5,gemma,Baseline
cancer_staging_method,0.973,0.625,gemma,Baseline
cancer_stage_type,1.0,0.32,gemma,BFOP
cancer_staging_method,0.998,0.603,gemma,BFOP
cancer_stage_type,0.988,0.356,phi3,2POP
cancer_staging_method,0.988,0.713,phi3,2POP
cancer_stage_type,1.0,0.345,phi3,Baseline
cancer_staging_method,1.0,0.836,phi3,Baseline
cancer_stage_type,1.0,0.536,phi3,BFOP
cancer_staging_method,1.0,0.788,phi3,BFOP
cancer_stage_type,0.977,0.36,mistral,2POP
cancer_staging_method,0.986,0.731,mistral,2POP
cancer_stage_type,0.979,0.559,mistral,Baseline
cancer_staging_method,0.989,0.791,mistral,Baseline
cancer_stage_type,0.986,0.375,mistral,BFOP
cancer_staging_method,0.997,0.826,mistral,BFOP
cancer_stage_type,0.993,0.475,llama3,2POP
cancer_staging_method,0.983,0.717,llama3,2POP
cancer_stage_type,1.0,0.469,llama3,Baseline
cancer_staging_method,0.97,0.859,llama3,Baseline
cancer_stage_type,1.0,0.439,llama3,BFOP
cancer_staging_method,1.0,0.764,llama3,BFOP
cancer_stage_type,0.998,0.562,gpt35_16k,2POP
cancer_staging_method,0.994,0.726,gpt35_16k,2POP
cancer_stage_type,0.993,0.374,gpt35_16k,Baseline
cancer_staging_method,0.999,0.759,gpt35_16k,Baseline
cancer_stage_type,1.0,0.571,gpt35_16k,BFOP
cancer_staging_method,0.997,0.828,gpt35_16k,BFOP
cancer_stage_type,0.996,0.577,gpt35,2POP
cancer_staging_method,0.989,0.728,gpt35,2POP
cancer_stage_type,0.998,0.392,gpt35,Baseline
cancer_staging_method,0.994,0.762,gpt35,Baseline
cancer_stage_type,0.999,0.549,gpt35,BFOP
cancer_staging_method,0.993,0.793,gpt35,BFOP
cancer_stage_type,0.997,0.409,gpt4,2POP
cancer_staging_method,0.993,0.77,gpt4,2POP
cancer_stage_type,1.0,0.367,gpt4,Baseline
cancer_staging_method,0.998,0.785,gpt4,Baseline
cancer_stage_type,1.0,0.406,gpt4,BFOP
cancer_staging_method,1.0,0.819,gpt4,BFOP
cancer_stage_type,0.998,0.563,gpt4o,2POP
cancer_staging_method,0.993,0.827,gpt4o,2POP
cancer_stage_type,1.0,0.309,gpt4o,Baseline
cancer_staging_method,0.995,0.833,gpt4o,Baseline
cancer_stage_type,1.0,0.554,gpt4o,BFOP
cancer_staging_method,1.0,0.883,gpt4o,BFOP
